price,merchant_id,inventory,name,description,photo_url,category

57.08,24,95,Papaya Dwarfs,Mile Zero coast guard Key West ipsum starboard bone cay Lou Gehrig eagle osprey salvage treasure fleming key Over-Sea Railroad Fort Jefferson western dry rocks stern key lime sunset,https://c1.staticflickr.com/4/3473/3399305086_efe2888201_b.jpg,Blue
15.33,10,55,Bougainvillea Bonsai,Flagler mel fisher bahama village Fort Zachary dingy Matthew C. Perry cafe con leche dry tortugas harbor east martillo mosquitos Over-Sea Railroad Blue Heaven Spanish galleon Santa Margarita golf cuban schooner wharf fantasy fest chickens US 1 conch republic rest beach,https://upload.wikimedia.org/wikipedia/commons/4/41/Bougainvillea_Bonsai.jpg,Pink
13.03,25,98,Crassula Ovata,ipsum lesbian eastern dry rocks sunset celebration cuban missile crisis sunset cuban chug Whitehead Street reef gay sun tan US 1 custom house little white house gulf of mexico Harry Truman,https://upload.wikimedia.org/wikipedia/commons/2/27/Crassula_bonsai.jpg,Teal
77.83,13,77,Ficus Benjamina,Harry Truman southernmost city Thomas Edison bow simonton Captain Eric Ernest Hemingway schooner wharf web design dredgers key 90 miles ship wreck Duval street Truman Annex lobster cafe con leche beach osprey Henry Flagler coast guard boat cleat Sunset pier,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/BBG_-_Ficus_benjamina_-_Forrest.jpg/1280px-BBG_-_Ficus_benjamina_-_Forrest.jpg,Pink
56.89,21,7,Bonsai Tree,Pan Am Airways cuba sub-tropical old town Key West bone cay Fort Jefferson glass beach,https://c1.staticflickr.com/6/5553/14137721410_65320b559e_b.jpg,Violet
66.37,9,73,Phoenix Roebelenii,Lorem ipsum Laid Back Key West fish boat Key West ipsum fantasy fest coast guard ship wreck and Tennessee Williams Sunset pier Truman Annex sailing little white house sand bahama,https://upload.wikimedia.org/wikipedia/commons/8/86/Phoenix_roebelenii.jpg,Turquoise
27.32,20,81,Schefflera bonsai,Annex sailing little white house sand bahama village sun tan atocha lobster roosters kayak salvage buoy snuba starboard Fort Zachary fleming key cuban missile crisis Captain,https://upload.wikimedia.org/wikipedia/commons/f/fa/Schefflera_bonsai_1.jpg,Pink
82.87,8,29,Ficus Tree,Lorem ipsum Square Grouper turtle Sloppy Joe's queen conch Captain Tony beer stern laid back art one human family gecko Pan Am Airways watersports sunset dolphin conch republic,https://cdn.pixabay.com/photo/2012/02/22/09/22/three-15333_960_720.jpg,Blue
27.06,7,91,Green Tree,Blue Heaven shipwreck cafe con leche sunset key Fort Zachary Thomas Edison cigar treasure harbor homeless sun Key West ipsum US 1 western union schooner shrimp Ernest Hemingway,https://static.pexels.com/photos/38896/pexels-photo-38896.jpeg,Orange
88.44,23,17,Cunjevoi,Over-Seas Highway web design osprey Captain Eric mangroves cuban Lou Gehrig starboard Key West sailing sand key florida straights stock island roosters salvage gulf of mexico cuba,https://www.calibrerealestate.com.au/wp-content/uploads/2016/05/Jade-Plant.jpg,Green
51.7,2,26,Cypress Elochka,Shrimp parrot heads sun buoy Green Parrot Key West cuba Key West christmas tree island star fish palm tree dredgers key Pan Am Airways Captain Tony music shipwreck Henry Flagler,https://upload.wikimedia.org/wikipedia/commons/1/16/Baby-indoor-cypress-elochka.fp-frame.jpg,Purple
57.84,24,38,Bonsai Aromatici,Harry Truman southernmost city Thomas Edison bow simonton Captain Eric Ernest Hemingway schooner wharf web design dredgers key 90 miles ship wreck Duval street Truman Ergonomic actuating access,http://www.rv-orchidworks.com/orchidtalk/attachments/kodak-moment-not-necessarily-plants/43460d1314267197-bonsai-trees-some-mauras-competition-dsc_0612-01.jpg,Khaki
