price,merchant_id,inventory,name,description,photo_url,category

30.76,13,40,Succulent Collection, Kombucha pour-over blog drinking vinegar glossier. actually post-ironic photo booth. Drinking vinegar keytar mumblecore. cray food truck echo park twee next level YOLO seitan shoreditch fam. Readymade locavore copper mug. hella flannel green juice microdosing.,https://s-media-cache-ak0.pinimg.com/736x/64/18/30/6418303683f23b780f9e6e49e6cf0f2c.jpg,succulents
9.95,9,12,A Succulent,Laid Back Key West music bone cay lesbian new town tank island ship wreck snorkel boat bow mel fisher,https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiZ7NmwosXTAhVH7GMKHVmZCbYQjRwIBw&url=https%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FFile%3AUnidentified_Succulents_(6034229815).jpg&psig=AFQjCNE_sLv3pIOInOWd2gwLkTXv7XdJGQ&ust=1493404205639024,succulents
18.06,8,38,Aeonium,Pink Shrimp parrot heads sun buoy succulents Parrot Key West cuba Key West christmas tree island star fish palm tree dredgers key Pan Am Airways Captain Tony music shipwreck,https://succulentexperiment.files.wordpress.com/2015/03/img_1307_1024.jpg,succulents
20.71,23,64,Aeonium Sunburst,Henry Flagler mel fisher bahama village Fort Zachary dingy Matthew C. Perry cafe con leche dry tortugas harbor east martillo mosquitos Over-Sea Railroad Blue Heaven Spanish,http://www.mastergardenerssandiego.org/newsletter/2011/june/sunburn.jpg,succulents
9.31,21,11,Small Succulent,Santa Margarita golf cuban schooner wharf fantasy fest chickens US 1 conch republic rest beach fleming key Sloppy Joe's Truman Annex bone cay boca grand ocean watersports sailing conch fritters bow Over-Seas Highway Harry Truman shrimp,http://i1255.photobucket.com/albums/hh629/irisecheveria/burnedorinfected2.jpg,succulents
15.06,10,82,Purple Succulent,Lorem ipsum Mile Zero coast guard Key West ipsum starboard bone cay Lou Gehrig eagle osprey salvage treasure fleming key Over-Sea Railroad Fort Jefferson western dry rocks stern key lime,http://farm7.static.flickr.com/6073/6034784436_7d038d8343.jpg,succulents
8.2,21,28,Sedeveria,Sunset celebration snorkel beer mallory square web design custom house mooring cuban mix queen conch sunset conch republic bahama village sub-tropical Key West channel bight gecko,https://c2.staticflickr.com/4/3800/13781288253_d707994411_b.jpg,succulents
19.28,16,36,Mix Succulents,Blue Heaven square grouper chickens bicycle west martillo shrimp tank island web design yellow tail Key West ipsum lesbian eastern dry rocks sunset celebration cuban,https://static.pexels.com/photos/105410/pexels-photo-105410.jpeg,succulents
8.39,20,52,Aeonium Succulent,Whitehead Street reef gay sun tan US 1 custom house little white house gulf of mexico Harry Truman southernmost city Thomas Edison bow simonton Captain Eric Ernest customizable cohesive collaboration,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQklFIvtFnVw3Al9XXxxdYjXoQoCkY5Eew7toYiGD5mMO5Inwjy5Q,succulents
3.41,18,44,Baby Succulent,Hemingway schooner wharf web design dredgers key 90 miles ship wreck Duval street Truman Annex lobster cafe con leche beach osprey Henry Flagler coast guard boat cleat,http://lifeofbunny.com/wp-content/uploads/2014/07/Baby-toes-300x225.jpg,succulents
