price,merchant_id,inventory,name,description,photo_url,category

3.76,13,40,Bird of Paradise,Lorem ipsum Laid Back margarita Captain Eric harbor cleat stern cuban Green Parrot sand key lobster chickens east martillo mel fisher key lime navy lesbian dry tortugas Sloppy Joe's parrot.,https://c1.staticflickr.com/9/8485/8190627451_404e5cb745_b.jpg,Tropical
7.95,9,12,Pink Ginger,heads golf swim coast guard conch republic cuban missile crisis beach rest beach channel watersports mosquitos web design Blue Heaven Key West smathers beach.,https://c1.staticflickr.com/8/7365/11948766776_dab41ba4eb_b.jpg,Tropical
8.06,8,38,Heliconia,Lorem ipsum Gay beer eastern dry rocks cuban missile crisis one human family swim lobster sub-tropical florida straights key deer cuba starboard boca grand fishing tank island margarita Fort Zachary smathers beach sand key channel.,https://upload.wikimedia.org/wikipedia/commons/c/c9/Heliconia_rostrata%2C_Negros_Occ.%2C_Philippines.jpg,Tropical
8.71,23,64,Pink Vanda Blooms,Vanda orchids produce some of the most magnificent flowers in the world. As a result they are ranked among the top five genera in horticulture.,http://www.wholeblossoms.com/images/pink-vanda-orchid.jpg,Tropical
6.31,21,11,White Anthurium,Anthurium grows in many forms bushy or climbing epiphytes. Some are only found in association with arboreal ant colonies or growing on rocks in midstream (such as A. amnicola).,http://manilablossoms.com/images/detailed/0/1dozwhite_ants.jpg,Tropical
5.06,10,82,Purple Tulip Shaped Anthurium,The stems are short to elongate with a length between 15 and 30 cm. The simple leaves come in many shapes. Most leaves are to be found at the end of the stem.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRufu_M-6Cd8dghhJcoTifjpnGI7inCFR0eFDfLvrc5QpJcLzYiJpjTS_o,Tropical
8.2,21,28,Yellow Heliconia Caribaea,The flowers of this species are actually highly modified leaves and bracts in the shapes of a lobster claws and a deep rich red color. Heliconia caribea has two arcs of air canals in leaf axis,http://www.heliconias.net/img/portfolio/Heliconiaceae/Producto/CaribaeaCreamP51.png,Tropical
3.28,16,36,Rattlesnake Calathea,Rattlesnake Plant (Calathea lancifolia) One of the very best indoor ornamental houseplants. Rattlesnake Calathea has long medium green leaves with dark decorative spots.,http://wildlifeofhawaii.com/images/flowers/Calathea-crotalifera-1.jpg,Tropcial
8.39,20,52,TuTone Dendrobium Spray,Dendrobium orchid spray in two tone purple. Measures 35.5 inches tall with 9 open flowers per spray. Silk orchids are a hassle free alternative to fresh flowers.,http://rs985.pbsrc.com/albums/ae334/mohdfarazi/Orchids/DSCN2451.jpg~c200,Tropical
6.41,18,44,Cattleya trianae,The national flower of Colombia is the orchid Cattleya trianae which was named after the Colombian naturalist José Jerónimo Triana.,https://upload.wikimedia.org/wikipedia/commons/d/d6/Cattleya_trianae.jpg,Tropical
4.86,5,16,Hibiscus,This flower is quite large. Comprising several hundred species that are native to warm-temperate (subtropical and tropical regions throughout the world),https://funflowerfacts.files.wordpress.com/2012/07/hibiscus.jpg
